customerID,SeniorCitizen,tenure,Contract,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0.0,0.013888888888888888,0.0,0.11542288557213931,0.001275098084468036,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
5575-GNVDE,0.0,0.4722222222222222,0.5,0.3850746268656716,0.21586660512347106,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
3668-QPYBK,0.0,0.027777777777777776,0.0,0.35422885572139307,0.010310408492960998,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
7795-CFOCW,0.0,0.625,0.5,0.23930348258706463,0.21024117239787676,False,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False
9237-HQITU,0.0,0.027777777777777776,0.0,0.5218905472636816,0.015330025386568198,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
9305-CDSKC,0.0,0.1111111111111111,0.0,0.8099502487562189,0.09251096238172168,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
1452-KIOVK,0.0,0.3055555555555555,0.0,0.7049751243781094,0.22277867528271408,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False
6713-OKOMC,0.0,0.1388888888888889,0.0,0.11442786069651739,0.032667897530579276,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
7892-POOKP,0.0,0.38888888888888884,0.0,0.8611940298507462,0.3493249480729287,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
6388-TABGU,0.0,0.861111111111111,0.5,0.3771144278606965,0.4003173321024694,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
9763-GRSKD,0.0,0.18055555555555555,0.0,0.3154228855721393,0.06561850911608587,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
7469-LKBCI,0.0,0.2222222222222222,1.0,0.006965174129353213,0.035541195476575124,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
8091-TTVAX,0.0,0.8055555555555555,0.5,0.8169154228855721,0.6533925686591276,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False
0280-XJGEX,0.0,0.6805555555555555,0.0,0.8502487562189055,0.578986845141934,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False
5129-JLPIS,0.0,0.3472222222222222,0.0,0.8681592039800995,0.30778329102238633,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
3655-SNQYZ,0.0,0.9583333333333333,1.0,0.945273631840796,0.9088795291945534,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
8191-XWSZG,0.0,0.7222222222222222,0.5,0.023880597014925342,0.11587237479806141,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
9959-WOFKT,0.0,0.986111111111111,1.0,0.8800995024875623,0.8496942072467113,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False
4190-MFLUW,0.0,0.1388888888888889,0.0,0.36766169154228856,0.05879875375028849,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False
4183-MYFRB,0.0,0.29166666666666663,0.0,0.7144278606965173,0.2127971382414032,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
8779-QRDMV,1.0,0.013888888888888888,0.0,0.21293532338308457,0.0024059543041772442,False,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
